Date,Open,High,Low,Close,Volume,Adj Close
2015-05-28,3650.71,3650.71,3650.71,3650.71,000,3650.71
2015-05-27,3682.87,3682.87,3682.87,3682.87,000,3682.87
2015-05-26,3619.30,3619.30,3619.30,3619.30,000,3619.30
2015-05-25,3655.41,3655.41,3655.41,3655.41,000,3655.41
2015-05-22,3679.14,3679.14,3679.14,3679.14,000,3679.14
2015-05-21,3688.72,3688.72,3688.72,3688.72,000,3688.72
2015-05-20,3683.48,3683.48,3683.48,3683.48,000,3683.48
2015-05-19,3670.52,3670.52,3670.52,3670.52,000,3670.52
2015-05-18,3589.22,3589.22,3589.22,3589.22,000,3589.22
2015-05-15,3573.07,3573.07,3573.07,3573.07,000,3573.07
2015-05-14,3602.22,3602.22,3602.22,3602.22,000,3602.22
2015-05-13,3553.42,3553.42,3553.42,3553.42,000,3553.42
2015-05-12,3573.10,3573.10,3573.10,3573.10,000,3573.10
2015-05-11,3624.41,3624.41,3624.41,3624.41,000,3624.41
2015-05-08,3649.48,3649.48,3649.48,3649.48,000,3649.48
2015-05-07,3556.21,3556.21,3556.21,3556.21,000,3556.21
2015-05-06,3558.03,3558.03,3558.03,3558.03,000,3558.03
2015-05-05,3546.56,3546.56,3546.56,3546.56,000,3546.56
2015-05-04,3632.94,3632.94,3632.94,3632.94,000,3632.94
2015-05-01,3615.59,3615.59,3615.59,3615.59,000,3615.59
2015-04-30,3615.59,3615.59,3615.59,3615.59,000,3615.59
2015-04-29,3617.11,3617.11,3617.11,3617.11,000,3617.11
2015-04-28,3715.42,3715.42,3715.42,3715.42,000,3715.42
2015-04-27,3771.45,3771.45,3771.45,3771.45,000,3771.45
2015-04-24,3713.96,3713.96,3713.96,3713.96,000,3713.96
2015-04-23,3697.88,3697.88,3697.88,3697.88,000,3697.88
2015-04-22,3724.49,3724.49,3724.49,3724.49,000,3724.49
2015-04-21,3719.38,3719.38,3719.38,3719.38,000,3719.38
2015-04-20,3718.04,3718.04,3718.04,3718.04,000,3718.04
2015-04-17,3674.05,3674.05,3674.05,3674.05,000,3674.05
